,Player,Weight,Height,Position,Unnamed: 0_x,Rk,Age,Team_x,Pos,GP_x,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G_x,A_x,PTS,PIM_x,Awards,Unnamed: 0_y,Round,Draft Position,Team_y,Seasons,GP_y,G_y,A_y,TP,PIM_y,Year,PPS
245,Kirill Ustimenko,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2399,3,80,Philadelphia Flyers,1,0,0,0,0,0,2017,0.0
246,Daniil Tarasov,196.0,78.0,G,263.0,91.0,22.0,CBJ,G,45.0,42.0,12.0,24.0,4.0,137.0,1435.0,1298.0,0.937,2.4,0.0,174:51874:081376:28,22.0,1.0,0.0,68.0,3.3,2.4,1.0,0.0,0.0,0.0,0.0,0,2405,3,86,Columbus Blue Jackets,4,54,0,0,0,0,2017,0.0
247,Keith Petruzzelli,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2407,3,88,Detroit Red Wings,1,0,0,0,0,0,2017,0.0
248,Maxim Zhukov,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2415,4,96,Vegas Golden Knights,0,0,0,0,0,0,2017,0.0
249,Eetu Mäkiniemi,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2423,4,104,Carolina Hurricanes,1,2,0,0,0,0,2017,0.0
250,Ian Scott,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2429,4,110,Toronto Maple Leafs,0,0,0,0,0,0,2017,0.0
251,Jeremy Swayman,187.0,74.0,G,243.0,67.0,22.0,BOS,G,132.0,125.0,79.0,33.0,15.0,295.0,3622.0,3327.0,0.945,1.5,12.0,601:432390:142012:592565:51,81.0,0.9,0.0,60.0,10.0,1.6,2.7,0.0,0.0,0.0,0.0,0,2430,4,111,Boston Bruins,5,154,0,0,0,0,2017,0.0
252,Petr Kvaca,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2433,4,114,Colorado Avalanche,0,0,0,0,0,0,2017,0.0
253,Gilles Senn,191.0,77.0,G,233.0,80.0,23.0,NJD,G,2.0,1.0,0.0,1.0,0.0,4.0,41.0,37.0,0.902,3.42,0.0,70:05,1.0,1.0,0.0,108.0,-0.3,3.42,0.2,0.0,0.0,0.0,0.0,0,2448,5,129,New Jersey Devils,1,2,0,0,0,0,2017,0.0
254,Olle Eriksson Ek,189.0,75.0,G,287.0,103.0,23.0,ANA,G,1.0,1.0,0.0,0.0,1.0,5.0,39.0,34.0,0.872,4.69,0.0,63:59,0.0,0.0,0.0,134.0,-1.3,4.69,0.1,0.0,0.0,0.0,0.0,0,2472,5,153,Anaheim Ducks,1,1,0,0,0,0,2017,0.0
255,Tomas Vomacka,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2473,5,154,Nashville Predators,0,0,0,0,0,0,2017,0.0
256,Jiri Patera,209.0,74.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2480,6,161,Vegas Golden Knights,3,8,0,0,0,0,2017,0.0
257,Arvid Holm,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2486,6,167,Winnipeg Jets,2,0,0,0,0,0,2017,0.0
258,Jordan Hollett,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2502,6,183,Ottawa Senators,0,0,0,0,0,0,2017,0.0
259,Dylan Ferguson,189.0,73.0,G,209.0,88.0,19.0,VEG,G,3.0,2.0,1.0,1.0,0.0,6.0,85.0,79.0,0.94,6.5,0.0,9:14118:52,1.0,0.0,0.0,570.0,-0.8,6.5,-0.1,0.0,0.0,0.0,0.0,0,2513,7,194,Dallas Stars,3,3,0,0,0,0,2017,0.0
260,Cayden Primeau,198.0,75.0,G,232.0,79.0,20.0,MTL,G,44.0,38.0,11.0,21.0,6.0,133.0,1252.0,1119.0,0.931,2.52,2.0,119:06201:54519:13138:351324:50,18.0,1.0,0.0,77.0,1.5,2.52,0.6,0.0,0.0,0.0,0.0,0,2518,7,199,Montréal Canadiens,6,55,0,0,0,0,2017,0.0
261,Olof Lindbom,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2575,2,39,New York Rangers,0,0,0,0,0,0,2018,0.0
262,Olivier Rodrigue,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2598,2,62,Edmonton Oilers,0,0,0,0,0,0,2018,0.0
263,Justus Annunen,210.0,76.0,G,268.0,99.0,21.0,COL,G,18.0,15.0,10.0,5.0,2.0,44.0,513.0,469.0,0.928,4.34,2.0,96:46117:20801:05,9.0,0.667,1.0,148.0,-2.3,4.34,0.1,0.0,1.0,1.0,0.0,0,2600,3,64,Colorado Avalanche,4,31,0,0,0,0,2018,0.0
264,Jakub Skarek,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2608,3,72,New York Islanders,0,0,0,0,0,0,2018,0.0
265,Jesper Eliasson,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2620,3,84,Detroit Red Wings,0,0,0,0,0,0,2018,0.0
266,Lukas Dostal,174.0,74.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2621,3,85,Anaheim Ducks,4,84,0,0,0,0,2018,0.0
267,Joel Hofer,179.0,77.0,G,269.0,102.0,21.0,STL,G,38.0,35.0,19.0,14.0,2.0,95.0,1059.0,964.0,0.913,3.07,1.0,117:09317:121628:39,19.0,0.593,0.0,129.0,-1.3,3.07,0.1,0.0,1.0,1.0,0.0,0,2643,4,107,St. Louis Blues,4,48,0,0,0,0,2018,0.0
268,Ivan Prosvetov,175.0,77.0,G,250.0,86.0,21.0,ARI,G,24.0,19.0,8.0,9.0,2.0,76.0,637.0,561.0,0.895,4.15,0.0,130:01185:00422:02494:11,8.0,0.5,1.0,192.0,-4.3,4.61,-0.2,0.0,0.0,0.0,0.0,0,2650,4,114,Arizona Coyotes,5,24,0,0,0,0,2018,0.0
269,Mitchell Gibson,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2660,4,124,Washington Capitals,1,0,0,0,0,0,2018,0.0
270,Akira Schmid,205.0,77.0,G,259.0,82.0,21.0,NJD,G,43.0,33.0,14.0,18.0,3.0,99.0,979.0,880.0,0.922,4.83,1.0,235:59901:21914:09,14.0,0.643,3.0,179.0,-8.4,5.09,-0.2,0.0,0.0,0.0,0.0,0,2672,5,136,New Jersey Devils,4,44,0,0,0,0,2018,0.0
271,Samuel Ersson,176.0,74.0,G,276.0,76.0,23.0,PHI,G,63.0,59.0,29.0,22.0,7.0,165.0,1531.0,1366.0,0.899,3.07,5.0,644:552809:28,32.0,0.551,2.0,105.0,-1.7,3.07,1.7,0.0,0.0,0.0,0.0,0,2679,5,143,Philadelphia Flyers,3,77,0,0,0,0,2018,0.0
272,Dávid Hrenák,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2680,5,144,Los Angeles Kings,0,0,0,0,0,0,2018,0.0
273,Roman Durný,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2683,5,147,Anaheim Ducks,0,0,0,0,0,0,2018,0.0
274,Magnus Chrona,194.0,76.0,G,291.0,74.0,23.0,SJS,G,9.0,8.0,1.0,6.0,1.0,37.0,262.0,225.0,0.859,4.71,0.0,471:15,3.0,0.375,5.0,146.0,-11.7,4.84,0.3,0.0,0.0,0.0,0.0,0,2688,5,152,Tampa Bay Lightning,1,9,0,0,0,0,2018,0.0
275,Kevin Mandolese,180.0,76.0,G,280.0,91.0,22.0,OTT,G,3.0,3.0,1.0,2.0,0.0,10.0,119.0,109.0,0.916,3.29,0.0,182:12,2.0,0.667,0.0,88.0,1.4,3.29,0.8,0.0,0.0,0.0,0.0,0,2693,6,157,Ottawa Senators,3,3,0,0,0,0,2018,0.0
276,David Tendeck,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2694,6,158,Arizona Coyotes,0,0,0,0,0,0,2018,0.0
277,Victor Brattström,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2696,6,160,Detroit Red Wings,1,0,0,0,0,0,2018,0.0
278,Alexis Gravel,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2698,6,162,Chicago Blackhawks,0,0,0,0,0,0,2018,0.0
279,Veini Vehviläinen,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2709,6,173,Columbus Blue Jackets,1,1,0,0,0,0,2018,0.0
280,Jacob Ingham,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2711,6,175,Los Angeles Kings,1,0,0,0,0,0,2018,0.0
281,Zachary Émond,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2712,6,176,San Jose Sharks,0,0,0,0,0,0,2018,0.0
282,Jared Moe,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2720,6,184,Winnipeg Jets,0,0,0,0,0,0,2018,0.0
283,Matthew Thiessen,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2728,7,192,Vancouver Canucks,0,0,0,0,0,0,2018,0.0
284,Jacob Kucharski,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2733,7,197,Carolina Hurricanes,0,0,0,0,0,0,2018,0.0
285,Shamil Shmakov,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2738,7,202,Colorado Avalanche,0,0,0,0,0,0,2018,0.0
286,Jordan Kooy,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2744,7,208,Vegas Golden Knights,0,0,0,0,0,0,2018,0.0
287,Zach Bouthillier,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2745,7,209,Toronto Maple Leafs,0,0,0,0,0,0,2018,0.0
288,Milan Kloucek,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2749,7,213,Nashville Predators,0,0,0,0,0,0,2018,0.0
289,Ty Taylor,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2750,7,214,Tampa Bay Lightning,0,0,0,0,0,0,2018,0.0
290,Spencer Knight,192.0,75.0,G,247.0,82.0,19.0,FLA,G,57.0,49.0,32.0,17.0,6.0,151.0,1602.0,1451.0,0.919,2.32,3.0,206:541740:141168:45,23.0,0.519,0.0,88.0,1.1,2.61,0.7,0.0,0.0,0.0,0.0,0,2766,1,13,Florida Panthers,4,69,0,0,0,0,2019,0.0
291,Pyotr Kochetkov,205.0,75.0,G,266.0,95.0,22.0,CAR,G,69.0,65.0,38.0,20.0,9.0,155.0,1719.0,1564.0,0.911,2.42,8.0,148:361403:562371:29,38.0,1.0,0.0,106.0,-0.3,2.42,0.3,0.0,0.0,0.0,0.0,0,2789,2,36,Carolina Hurricanes,4,87,0,0,0,0,2019,0.0
292,Mads Søgaard,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2790,2,37,Ottawa Senators,4,28,0,0,0,0,2019,0.0
293,Hunter Jones,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2812,2,59,Minnesota Wild,0,0,0,0,0,0,2019,0.0
294,Erik Portillo,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2820,3,67,Buffalo Sabres,1,1,0,0,0,0,2019,0.0
295,Hugo Alnefelt,177.0,74.0,G,272.0,111.0,20.0,TBL,G,1.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,0.7,9.0,0.0,20:00,0.0,0.0,0.0,323.0,-2.1,9.0,-0.2,0.0,0.0,0.0,0.0,0,2824,3,71,Tampa Bay Lightning,1,1,0,0,0,0,2019,0.0
296,Ilya Konovalov,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2838,3,85,Edmonton Oilers,1,0,0,0,0,0,2019,0.0
297,Lukas Parik,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2840,3,87,Los Angeles Kings,0,0,0,0,0,0,2019,0.0
298,Colten Ellis,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2846,3,93,St. Louis Blues,0,0,0,0,0,0,2019,0.0
299,Cole Brady,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2880,5,127,New Jersey Devils,0,0,0,0,0,0,2019,0.0
300,Isaiah Saville,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2888,5,135,Vegas Golden Knights,1,0,0,0,0,0,2019,0.0
301,Frederik Dichow,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2891,5,138,Montréal Canadiens,0,0,0,0,0,0,2019,0.0
302,Logan Neaton,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2897,5,144,Winnipeg Jets,0,0,0,0,0,0,2019,0.0
303,Ethan Haider,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2901,5,148,Nashville Predators,0,0,0,0,0,0,2019,0.0
304,Arturs Silovs,203.0,76.0,G,279.0,86.0,21.0,VAN,G,9.0,9.0,6.0,2.0,1.0,24.0,236.0,212.0,0.908,2.75,0.0,305:56243:13,6.0,0.8,1.0,96.0,0.6,2.75,0.9,0.0,0.0,0.0,0.0,0,2909,6,156,Vancouver Canucks,5,16,0,0,0,0,2019,0.0
305,Dominic Basse,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2920,6,167,Chicago Blackhawks,0,0,0,0,0,0,2019,0.0
306,Roddy Ross,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2922,6,169,Philadelphia Flyers,0,0,0,0,0,0,2019,0.0
307,Carter Gylander,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2944,7,191,Detroit Red Wings,0,0,0,0,0,0,2019,0.0
308,Filip Lindberg,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2950,7,197,Minnesota Wild,0,0,0,0,0,0,2019,0.0
309,Trent Miner,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2955,7,202,Colorado Avalanche,1,1,0,0,0,0,2019,0.0
310,Vadim Zherenko,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2961,7,208,St. Louis Blues,1,0,0,0,0,0,2019,0.0
311,Dustin Wolf,166.0,72.0,G,290.0,107.0,21.0,CGY,G,18.0,16.0,8.0,7.0,1.0,51.0,491.0,440.0,0.958,1.0,0.0,59:54950:30,8.0,1.0,0.0,44.0,1.3,1.0,0.3,0.0,0.0,0.0,0.0,0,2967,7,214,Calgary Flames,4,33,0,0,0,0,2019,0.0
312,Yaroslav Askarov,178.0,75.0,G,285.0,101.0,20.0,NSH,G,3.0,2.0,1.0,1.0,0.0,6.0,70.0,64.0,0.943,4.15,0.0,57:5081:40,1.0,1.0,0.0,119.0,-0.6,4.15,0.1,0.0,0.0,0.0,0.0,0,2981,1,11,Nashville Predators,3,5,0,0,0,0,2020,0.0
313,Drew Commesso,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3016,2,46,Chicago Blackhawks,1,2,0,0,0,0,2020,0.0
314,Joel Blomqvist,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3022,2,52,Pittsburgh Penguins,2,8,0,0,0,0,2020,0.0
315,Leevi Meriläinen,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3041,3,71,Ottawa Senators,3,2,0,0,0,0,2020,0.0
316,Calle Clang,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3047,3,77,Pittsburgh Penguins,1,0,0,0,0,0,2020,0.0
317,Nico Daws,205.0,76.0,G,256.0,52.0,21.0,NJD,G,46.0,43.0,19.0,22.0,1.0,126.0,1185.0,1059.0,0.894,3.11,0.0,1271:321144:03,17.0,0.5,7.0,115.0,-8.6,3.21,2.5,0.0,0.0,0.0,0.0,0,3054,3,84,New Jersey Devils,3,46,0,0,0,0,2020,0.0
318,Daniil Chechelev,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3066,4,96,Calgary Flames,0,0,0,0,0,0,2020,0.0
319,Dylan Garand,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3073,4,103,New York Rangers,2,0,0,0,0,0,2020,0.0
320,Artur Akhtyamov,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3076,4,106,Toronto Maple Leafs,0,0,0,0,0,0,2020,0.0
321,Jan Bednar,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3077,4,107,Detroit Red Wings,0,0,0,0,0,0,2020,0.0
322,Juho Markkanen,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3082,4,112,Los Angeles Kings,0,0,0,0,0,0,2020,0.0
323,Jesper Vikman,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3095,5,125,Vegas Golden Knights,0,0,0,0,0,0,2020,0.0
324,Jakub Dobes,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3106,5,136,Montréal Canadiens,0,0,0,0,0,0,2020,0.0
325,Will Cranley,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3133,6,163,St. Louis Blues,0,0,0,0,0,0,2020,0.0
326,Garin Bjorklund,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3149,6,179,Washington Capitals,0,0,0,0,0,0,2020,0.0
