,Player,Weight,Height,Position,Rk,Age,Team_x,GP_x,G_x,A_x,PTS,+/-,PIM_x,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Unnamed: 0_y,Round,Draft Position,Team_y,Seasons,GP_y,G_y,A_y,TP,PIM_y,Year,PPS
50,Mike Weber,0.0,0.0,D,399.0,23.0,BUF,373.0,10.0,45.0,55.0,-50.0,464.0,10.0,0.0,0.0,0.0,42.0,0.0,3.0,297.0,7.5,122.0,979:49,18:45,0.0,0.0,0.0,732.0,999.0,58.0,212.0,56,2,57,Buffalo Sabres,8,351,9,44,53,437,2006,6.625
54,Simon Danis-Pépin,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2,61,Chicago Blackhawks,0,0,0,0,0,0,2006,0.0
56,Jamie McBain,195.0,73.0,D,522.0,21.0,CAR,348.0,30.0,80.0,110.0,-17.0,72.0,19.0,11.0,0.0,4.0,53.0,26.0,1.0,448.0,10.3,60.0,360:55,25:47,0.0,0.0,0.0,497.0,159.0,86.0,154.0,62,2,63,Carolina Hurricanes,8,348,30,80,110,72,2006,13.75
57,Jonas Junland,200.0,74.0,D,707.0,22.0,STL,3.0,0.0,2.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,10.0,51:32,17:11,0.0,0.0,0.0,0.0,2.0,0.0,2.0,63,3,64,St. Louis Blues,2,4,0,2,2,2,2006,1.0
58,Brian Strait,0.0,0.0,D,960.0,23.0,PIT,187.0,6.0,23.0,29.0,-14.0,91.0,6.0,0.0,0.0,0.0,20.0,0.0,3.0,162.0,0.0,3.0,40:37,18:22,0.0,0.0,0.0,279.0,347.0,42.0,83.0,64,3,65,Pittsburgh Penguins,7,187,6,23,29,91,2006,4.142857142857143
60,Kirill Tulupov,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,3,67,New Jersey Devils,0,0,0,0,0,0,2006,0.0
61,Eric Gryba,222.0,76.0,D,491.0,24.0,OTT,289.0,7.0,36.0,43.0,15.0,368.0,7.0,0.0,0.0,2.0,35.0,0.0,1.0,305.0,3.9,95.0,669:09,20:17,0.0,0.0,0.0,315.0,776.0,63.0,184.0,67,3,68,Ottawa Senators,7,289,7,36,43,368,2006,6.142857142857143
66,Theo Peckham,246.0,74.0,D,793.0,22.0,EDM,144.0,4.0,13.0,17.0,-14.0,327.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,77.0,0.0,17.0,241:05,18:36,0.0,0.0,0.0,223.0,352.0,50.0,106.0,74,3,75,Edmonton Oilers,6,160,4,13,17,388,2006,2.833333333333333
69,Kevin Quick,181.0,72.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,3,78,Tampa Bay Lightning,1,6,0,1,1,0,2006,1.0
73,Daniel Rahimi,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,3,82,Vancouver Canucks,0,0,0,0,0,0,2006,0.0
74,John de Gray,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,3,83,Anaheim Ducks,0,0,0,0,0,0,2006,0.0
79,Jonas Ahnelöv,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,3,88,Phoenix Coyotes,0,0,0,0,0,0,2006,0.0
84,Ryan Turek,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,4,94,St. Louis Blues,0,0,0,0,0,0,2006,0.0
85,Ben Shutron,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,4,95,Chicago Blackhawks,0,0,0,0,0,0,2006,0.0
87,James DeLory,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,4,98,San Jose Sharks,0,0,0,0,0,0,2006,0.0
89,Joonas Lehtivuori,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,101,Philadelphia Flyers,0,0,0,0,0,0,2006,0.0
90,Kyle Medvec,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,4,102,Minnesota Wild,0,0,0,0,0,0,2006,0.0
91,Michael Caruso,191.0,74.0,D,781.0,24.0,FLA,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15:50,7:55,0.0,0.0,0.0,2.0,0.0,0.0,1.0,102,4,103,Florida Panthers,1,2,0,0,0,0,2006,0.0
94,T.J. Miller,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,4,107,New Jersey Devils,0,0,0,0,0,0,2006,0.0
95,Kevin Montgomery,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,4,110,Colorado Avalanche,0,0,0,0,0,0,2006,0.0
96,Korbinian Holzer,218.0,75.0,D,879.0,22.0,TOR,255.0,7.0,24.0,31.0,-15.0,176.0,7.0,0.0,0.0,1.0,22.0,0.0,2.0,183.0,0.0,3.0,26:02,18:30,0.0,0.0,0.0,420.0,584.0,32.0,142.0,110,4,111,Toronto Maple Leafs,8,206,6,21,27,139,2006,3.375
98,Ben Wright,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,4,113,Columbus Blue Jackets,0,0,0,0,0,0,2006,0.0
99,Niclas Andersén,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,4,114,Los Angeles Kings,0,0,0,0,0,0,2006,0.0
101,Derrick LaPoint,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,4,116,Florida Panthers,0,0,0,0,0,0,2006,0.0
105,Pierre-Luc Lessard,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,4,121,Ottawa Senators,0,0,0,0,0,0,2006,0.0
109,Shane Sims,195.0,73.0,D,956.0,22.0,NYI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6:34,6:34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,125,5,126,New York Islanders,1,1,0,0,0,0,2006,0.0
