,Player,Weight,Height,Position,Rk,Age,Team_x,GP_x,G_x,A_x,PTS,+/-,PIM_x,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Unnamed: 0_y,Round,Draft Position,Team_y,Seasons,GP_y,G_y,A_y,TP,PIM_y,Year,PPS
752,Tommi Kivistö,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842,7,208,Carolina Hurricanes,0,0,0,0,0,0,2009,0.0
754,Adam Almquist,174.0,71.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844,7,210,Detroit Red Wings,1,2,1,0,1,0,2009,1.0
757,Erik Gudbranson,217.0,77.0,D,533.0,20.0,FLA,961.0,41.0,115.0,156.0,-157.0,1080.0,41.0,0.0,0.0,7.0,103.0,7.0,5.0,1275.0,2.6,166.0,1022:15,21:18,0.0,0.0,0.0,1280.0,2070.0,131.0,460.0,848,1,3,Florida Panthers,14,792,34,99,133,841,2010,9.5
764,Dylan McIlrath,236.0,77.0,D,923.0,21.0,NYR,81.0,4.0,4.0,8.0,-5.0,147.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,56.0,0.0,2.0,14:03,9:34,0.0,0.0,0.0,74.0,217.0,17.0,31.0,855,1,10,New York Rangers,9,85,3,6,9,147,2010,1.0
765,Cam Fowler,206.0,74.0,D,170.0,19.0,ANA,974.0,96.0,357.0,453.0,-122.0,255.0,54.0,38.0,4.0,18.0,216.0,136.0,5.0,1547.0,8.1,255.0,1681:53,24:51,0.0,0.0,0.0,1334.0,473.0,330.0,586.0,857,1,12,Anaheim Ducks,15,993,96,361,457,261,2010,30.466666666666665
766,Brandon Gormley,0.0,0.0,D,876.0,21.0,PHX,58.0,2.0,3.0,5.0,-6.0,20.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,54.0,0.0,11.0,72:43,15:19,0.0,0.0,0.0,59.0,49.0,12.0,20.0,858,1,13,Phoenix Coyotes,3,58,2,3,5,20,2010,1.6666666666666667
768,Derek Forbort,219.0,76.0,D,698.0,23.0,LAK,516.0,17.0,79.0,96.0,25.0,303.0,15.0,0.0,2.0,4.0,77.0,0.0,2.0,502.0,7.1,30.0,154:38,20:47,0.0,0.0,0.0,889.0,893.0,101.0,386.0,860,1,15,Los Angeles Kings,10,501,17,79,96,301,2010,9.6
775,Jarred Tinordi,230.0,78.0,D,671.0,20.0,MTL,236.0,4.0,27.0,31.0,-74.0,262.0,4.0,0.0,0.0,2.0,25.0,0.0,2.0,175.0,0.0,13.0,93:42,17:22,0.0,0.0,0.0,339.0,630.0,31.0,92.0,867,1,22,Montréal Canadiens,9,205,4,26,30,234,2010,3.333333333333333
776,Mark Pysyk,200.0,73.0,D,538.0,21.0,BUF,521.0,28.0,76.0,104.0,-18.0,162.0,27.0,1.0,0.0,3.0,71.0,3.0,2.0,555.0,4.8,41.0,309:17,19:37,0.0,0.0,0.0,576.0,512.0,179.0,271.0,868,1,23,Buffalo Sabres,11,521,28,76,104,162,2010,9.454545454545457
788,Alexander Petrovic,216.0,76.0,D,873.0,20.0,FLA,299.0,5.0,47.0,52.0,-26.0,386.0,5.0,0.0,0.0,1.0,46.0,0.0,1.0,302.0,0.0,16.0,112:41,18:47,0.0,0.0,0.0,354.0,749.0,64.0,158.0,881,2,36,Florida Panthers,9,266,5,45,50,362,2010,5.555555555555555
789,Justin Faulk,217.0,72.0,D,315.0,19.0,CAR,902.0,126.0,300.0,426.0,-57.0,448.0,77.0,46.0,3.0,32.0,207.0,88.0,5.0,2163.0,7.9,220.0,1507:43,24:26,0.0,0.0,0.0,1216.0,1490.0,546.0,569.0,882,2,37,Carolina Hurricanes,14,932,127,307,434,458,2010,31.0
790,Jon Merrill,205.0,75.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883,2,38,New Jersey Devils,12,636,22,90,112,309,2010,9.333333333333334
793,Patrik Nemeth,219.0,75.0,D,937.0,21.0,DAL,556.0,13.0,67.0,80.0,8.0,260.0,13.0,0.0,0.0,2.0,62.0,1.0,4.0,540.0,0.0,6.0,110:08,22:02,0.0,0.0,0.0,888.0,833.0,75.0,232.0,886,2,41,Dallas Stars,10,504,10,60,70,240,2010,7.0
795,Brad Ross,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888,2,43,Toronto Maple Leafs,0,0,0,0,0,0,2010,0.0
798,Martin Marincin,213.0,77.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891,2,46,Edmonton Oilers,7,227,5,29,34,110,2010,4.857142857142857
804,Mark Alt,201.0,76.0,D,809.0,23.0,PHI,35.0,0.0,0.0,0.0,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,6.0,9:25,9:55,0.0,0.0,0.0,39.0,37.0,6.0,8.0,898,2,53,Carolina Hurricanes,4,20,0,0,0,4,2010,0.0
805,Justin Holl,205.0,76.0,D,747.0,26.0,TOR,323.0,11.0,76.0,87.0,66.0,172.0,10.0,0.0,1.0,4.0,73.0,0.0,3.0,292.0,100.0,4.0,34:43,21:04,0.0,0.0,0.0,457.0,521.0,93.0,237.0,899,2,54,Chicago Blackhawks,8,345,12,78,90,178,2010,11.25
810,Stephen Johns,225.0,76.0,D,670.0,23.0,DAL,167.0,15.0,18.0,33.0,-6.0,93.0,15.0,0.0,0.0,3.0,16.0,1.0,1.0,255.0,7.7,30.0,249:37,18:15,0.0,0.0,0.0,326.0,465.0,56.0,111.0,905,2,60,Chicago Blackhawks,6,167,15,18,33,93,2010,5.5
813,Brock Beukeboom,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908,3,63,Tampa Bay Lightning,0,0,0,0,0,0,2010,0.0
816,Radko Gudas,204.0,72.0,D,526.0,22.0,TBL,748.0,39.0,143.0,182.0,87.0,971.0,37.0,1.0,1.0,6.0,137.0,4.0,2.0,1221.0,6.5,62.0,373:50,19:51,0.0,0.0,0.0,1309.0,2797.0,183.0,471.0,911,3,66,Tampa Bay Lightning,13,777,39,146,185,1007,2010,14.23076923076923
817,Danny Biega,205.0,72.0,D,687.0,23.0,CAR,10.0,0.0,2.0,2.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,25.0,161:25,16:09,0.0,0.0,0.0,7.0,27.0,1.0,7.0,912,3,67,Carolina Hurricanes,1,10,0,2,2,0,2010,2.0
818,Jérôme Leduc,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913,3,68,Buffalo Sabres,0,0,0,0,0,0,2010,0.0
822,Adam Janosik,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917,3,72,Tampa Bay Lightning,0,0,0,0,0,0,2010,0.0
823,Joey Leach,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918,3,73,Calgary Flames,0,0,0,0,0,0,2010,0.0
828,Taylor Aronson,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923,3,78,Nashville Predators,0,0,0,0,0,0,2010,0.0
833,Matt MacKenzie,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928,3,83,Buffalo Sabres,0,0,0,0,0,0,2010,0.0
834,Austin Levi,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930,3,85,Carolina Hurricanes,0,0,0,0,0,0,2010,0.0
836,Julian Melchiori,222.0,77.0,D,929.0,22.0,WPG,30.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,8:41,8:41,0.0,0.0,0.0,41.0,49.0,6.0,24.0,932,3,87,Atlanta Thrashers,3,30,0,2,2,8,2010,0.6666666666666666
840,Jérémie Blain,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936,4,91,Edmonton Oilers,0,0,0,0,0,0,2010,0.0
841,Benjamin Gallacher,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938,4,93,Florida Panthers,0,0,0,0,0,0,2010,0.0
842,Brandon Archibald,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939,4,94,Columbus Blue Jackets,0,0,0,0,0,0,2010,0.0
843,Stephen Silas,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940,4,95,Colorado Avalanche,0,0,0,0,0,0,2010,0.0
844,Geoff Schemitsch,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941,4,96,Tampa Bay Lightning,0,0,0,0,0,0,2010,0.0
850,John Ramage,0.0,0.0,D,929.0,23.0,CGY,2.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,18:10,18:10,0.0,0.0,0.0,6.0,4.0,0.0,0.0,948,4,103,Calgary Flames,2,2,0,0,0,0,2010,0.0
851,Jani Hakanpää,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949,4,104,St. Louis Blues,6,290,15,30,45,173,2010,7.5
855,Alex Theriau,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954,4,109,Dallas Stars,0,0,0,0,0,0,2010,0.0
859,Joe Faust,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959,4,114,New Jersey Devils,0,0,0,0,0,0,2010,0.0
860,Patrick McNally,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960,4,115,Vancouver Canucks,0,0,0,0,0,0,2010,0.0
861,Petter Granberg,200.0,75.0,D,877.0,21.0,TOR,45.0,0.0,2.0,2.0,2.0,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,1.0,11:46,9:38,0.0,0.0,0.0,43.0,84.0,2.0,11.0,961,4,116,Toronto Maple Leafs,4,45,0,2,2,29,2010,0.5
862,Morgan Ellis,211.0,73.0,D,857.0,23.0,MTL,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,26:52,8:57,0.0,0.0,0.0,2.0,1.0,0.0,2.0,962,4,117,Montréal Canadiens,1,3,0,0,0,2,2010,0.0
868,Austin Madaisky,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969,5,124,Columbus Blue Jackets,0,0,0,0,0,0,2010,0.0
869,Tony DeHart,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970,5,125,New York Islanders,0,0,0,0,0,0,2010,0.0
874,John Klingberg,180.0,74.0,D,152.0,22.0,DAL,700.0,91.0,354.0,445.0,-65.0,289.0,68.0,23.0,0.0,27.0,207.0,147.0,0.0,1355.0,11.2,237.0,1419:42,24:32,0.0,0.0,0.0,832.0,484.0,273.0,720.0,976,5,131,Dallas Stars,10,633,81,331,412,255,2010,41.2
875,Tim Heed,180.0,71.0,D,872.0,26.0,SJS,105.0,6.0,23.0,29.0,-1.0,20.0,3.0,3.0,0.0,2.0,17.0,6.0,0.0,137.0,0.0,4.0,16:29,16:29,0.0,0.0,0.0,98.0,40.0,37.0,61.0,977,5,132,Anaheim Ducks,4,105,6,23,29,20,2010,7.25
879,Isaac MacLeod,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981,5,136,San Jose Sharks,0,0,0,0,0,0,2010,0.0
880,Troy Rutkowski,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982,5,137,Colorado Avalanche,0,0,0,0,0,0,2010,0.0
886,Adam Polasek,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990,5,145,Vancouver Canucks,0,0,0,0,0,0,2010,0.0
889,Kevin Gravel,211.0,76.0,D,869.0,23.0,LAK,132.0,1.0,13.0,14.0,-12.0,16.0,0.0,1.0,0.0,0.0,11.0,2.0,0.0,140.0,0.0,12.0,58:23,14:43,0.0,0.0,0.0,176.0,149.0,11.0,64.0,993,5,148,Los Angeles Kings,7,134,1,14,15,16,2010,2.142857142857143
893,Joe Rogalski,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997,6,152,Pittsburgh Penguins,0,0,0,0,0,0,2010,0.0
895,Dalton Prout,215.0,75.0,D,940.0,21.0,CBJ,293.0,7.0,37.0,44.0,-14.0,365.0,7.0,0.0,0.0,0.0,36.0,1.0,0.0,254.0,0.0,4.0,58:58,18:32,0.0,0.0,0.0,336.0,594.0,42.0,108.0,999,6,154,Columbus Blue Jackets,9,264,7,31,38,321,2010,4.222222222222222
896,Kendall McFaull,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,6,155,Atlanta Thrashers,0,0,0,0,0,0,2010,0.0
902,Brandon Davidson,208.0,74.0,D,743.0,23.0,EDM,281.0,13.0,20.0,33.0,-42.0,125.0,11.0,2.0,0.0,0.0,17.0,0.0,3.0,328.0,14.3,20.0,181:39,19:12,0.0,0.0,0.0,474.0,465.0,71.0,198.0,1007,6,162,Edmonton Oilers,7,180,9,14,23,82,2010,3.2857142857142856
903,Konrad Abeltshauser,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,6,163,San Jose Sharks,0,0,0,0,0,0,2010,0.0
906,Tyler Stahl,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012,6,167,Carolina Hurricanes,0,0,0,0,0,0,2010,0.0
907,Anthony Bitetto,210.0,73.0,D,819.0,24.0,NSH,233.0,3.0,31.0,34.0,-22.0,154.0,3.0,0.0,0.0,1.0,29.0,1.0,1.0,189.0,0.0,7.0,82:27,15:10,1.0,0.0,100.0,231.0,480.0,41.0,86.0,1013,6,168,Nashville Predators,7,197,3,28,31,142,2010,4.428571428571429
908,Sebastian Owuya,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014,6,169,Atlanta Thrashers,0,0,0,0,0,0,2010,0.0
909,Reid McNeill,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015,6,170,Pittsburgh Penguins,0,0,0,0,0,0,2010,0.0
913,Samuel Carrier,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021,6,176,Washington Capitals,0,0,0,0,0,0,2010,0.0
914,Kevin Lind,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022,6,177,Anaheim Ducks,0,0,0,0,0,0,2010,0.0
916,Nick Luukko,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,6,179,Philadelphia Flyers,0,0,0,0,0,0,2010,0.0
917,Nick Mattson,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025,6,180,Chicago Blackhawks,0,0,0,0,0,0,2010,0.0
920,Ronald Boyd,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028,7,183,Florida Panthers,0,0,0,0,0,0,2010,0.0
921,Teigan Zahn,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031,7,186,Tampa Bay Lightning,0,0,0,0,0,0,2010,0.0
922,Lee Moffie,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033,7,188,San Jose Sharks,0,0,0,0,0,0,2010,0.0
928,Maxim Chudinov,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040,7,195,Boston Bruins,0,0,0,0,0,0,2010,0.0
929,Bryce Aneloski,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041,7,196,Ottawa Senators,0,0,0,0,0,0,2010,0.0
932,Peter Stoykewych,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044,7,199,Atlanta Thrashers,0,0,0,0,0,0,2010,0.0
934,Ben Marshall,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046,7,201,Detroit Red Wings,0,0,0,0,0,0,2010,0.0
938,Sawyer Hannay,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,7,205,Vancouver Canucks,0,0,0,0,0,0,2010,0.0
939,Ricard Blidstrand,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,7,206,Philadelphia Flyers,0,0,0,0,0,0,2010,0.0
943,Zach Trotman,217.0,75.0,D,974.0,23.0,BOS,91.0,3.0,10.0,13.0,1.0,30.0,3.0,0.0,0.0,1.0,9.0,1.0,0.0,143.0,0.0,7.0,30:00,18:33,0.0,0.0,0.0,112.0,159.0,6.0,34.0,1055,7,210,Boston Bruins,6,91,3,10,13,30,2010,2.1666666666666665
947,Adam Larsson,208.0,75.0,D,364.0,19.0,NJD,848.0,45.0,168.0,213.0,28.0,504.0,44.0,0.0,1.0,10.0,156.0,5.0,7.0,1073.0,2.9,153.0,1340:20,23:38,0.0,0.0,0.0,1527.0,2021.0,260.0,484.0,1059,1,4,New Jersey Devils,14,880,46,173,219,521,2011,15.642857142857142
952,Dougie Hamilton,229.0,78.0,D,258.0,19.0,BOS,771.0,142.0,319.0,461.0,68.0,494.0,99.0,42.0,1.0,30.0,211.0,106.0,2.0,2209.0,6.0,163.0,719:23,23:17,0.0,0.0,0.0,839.0,900.0,235.0,582.0,1064,1,9,Boston Bruins,13,804,147,335,482,510,2011,37.07692307692308
953,Jonas Brodin,198.0,73.0,D,354.0,19.0,MIN,803.0,54.0,186.0,240.0,93.0,244.0,45.0,8.0,1.0,10.0,155.0,25.0,6.0,1066.0,3.9,107.0,1044:35,24:10,0.0,0.0,0.0,1387.0,419.0,272.0,285.0,1065,1,10,Minnesota Wild,13,824,56,193,249,248,2011,19.153846153846157
954,Duncan Siemens,210.0,75.0,D,944.0,21.0,COL,20.0,1.0,1.0,2.0,-7.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,14:00,14:00,0.0,0.0,0.0,22.0,34.0,2.0,7.0,1066,1,11,Colorado Avalanche,3,20,1,1,2,25,2011,0.6666666666666666
955,Ryan Murphy,181.0,71.0,D,859.0,19.0,CAR,178.0,8.0,36.0,44.0,-26.0,54.0,3.0,5.0,0.0,1.0,29.0,7.0,0.0,240.0,0.0,15.0,84:15,9:37,0.0,0.0,0.0,182.0,78.0,78.0,114.0,1067,1,12,Carolina Hurricanes,7,175,8,35,43,54,2011,6.142857142857143
957,Jamie Oleksiak,255.0,79.0,D,661.0,20.0,DAL,723.0,45.0,113.0,158.0,8.0,585.0,43.0,2.0,0.0,8.0,109.0,0.0,4.0,809.0,0.0,34.0,237:20,20:29,0.0,0.0,0.0,955.0,1572.0,235.0,436.0,1069,1,14,Dallas Stars,13,630,38,97,135,461,2011,10.384615384615383
960,Nathan Beaulieu,200.0,74.0,D,635.0,20.0,MTL,519.0,15.0,95.0,110.0,-8.0,379.0,12.0,3.0,0.0,2.0,77.0,17.0,1.0,585.0,0.0,19.0,92:13,19:29,0.0,0.0,0.0,609.0,518.0,86.0,336.0,1072,1,17,Montréal Canadiens,11,471,12,86,98,340,2011,8.909090909090908
962,Oscar Klefbom,216.0,75.0,D,668.0,20.0,EDM,378.0,34.0,122.0,156.0,-64.0,74.0,26.0,7.0,1.0,7.0,72.0,49.0,1.0,890.0,7.1,33.0,268:33,25:25,0.0,0.0,0.0,753.0,253.0,179.0,307.0,1074,1,19,Edmonton Oilers,10,378,34,122,156,74,2011,15.6
963,Connor Murphy,212.0,76.0,D,554.0,20.0,PHX,677.0,41.0,100.0,141.0,-61.0,437.0,36.0,2.0,3.0,6.0,96.0,2.0,2.0,879.0,3.3,69.0,539:25,22:09,0.0,0.0,0.0,1314.0,1455.0,168.0,370.0,1075,1,20,Phoenix Coyotes,12,708,42,110,152,469,2011,12.666666666666666
966,Joe Morrow,196.0,72.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078,1,23,Pittsburgh Penguins,5,162,9,23,32,62,2011,6.4
968,Stuart Percy,187.0,73.0,D,676.0,21.0,TOR,12.0,0.0,3.0,3.0,-6.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,0.0,24.0,162:42,18:05,0.0,0.0,0.0,16.0,18.0,8.0,13.0,1080,1,25,Toronto Maple Leafs,2,12,0,3,3,2,2011,1.5
