,Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
70,71.0,Richard Bachman,27.0,EDM,G,13.0,11.0,6.0,6.0,0.0,37.0,390.0,353.0,0.92,2.84,1.0,316:4359:52295:1160:00,5.0,0.75,1.0,105.0,-0.7,3.41,0.9,0.0,0.0,0.0,0.0,
71,72.0,Joni Ortio,23.0,CGY,G,28.0,25.0,11.0,11.0,5.0,69.0,717.0,648.0,0.908,2.52,2.0,333:171196:09,12.0,0.5,2.0,107.0,-0.9,3.06,0.8,0.0,0.0,0.0,0.0,
72,73.0,Anton Forsberg,22.0,CBJ,G,160.0,147.0,63.0,69.0,11.0,435.0,4575.0,4140.0,0.917,4.69,5.0,255:43178:0958:351714:47143:09448:332571:271471:431569:45,77.0,0.75,1.0,157.0,-7.3,5.63,0.0,0.0,0.0,0.0,0.0,
73,74.0,Matt Hackett,24.0,BUF,G,5.0,4.0,0.0,4.0,1.0,18.0,155.0,137.0,0.884,4.32,0.0,250:15,1.0,0.25,1.0,136.0,-4.8,5.03,0.4,0.0,0.0,0.0,0.0,
74,75.0,Jason LaBarbera,35.0,ANA,G,5.0,2.0,2.0,0.0,1.0,9.0,99.0,90.0,0.909,2.6,0.0,207:28,2.0,1.0,0.0,107.0,-0.6,3.18,0.5,0.0,0.0,0.0,0.0,
75,76.0,Scott Clemmensen,37.0,NJD,G,3.0,1.0,0.0,0.0,1.0,8.0,54.0,46.0,0.852,4.73,0.0,101:35,0.0,0.0,0.0,174.0,-3.4,5.91,-0.1,0.0,0.0,0.0,0.0,
76,77.0,Jacob MarkstrÃ¶m,25.0,VAN,G,438.0,427.0,203.0,169.0,52.0,1132.0,12610.0,11478.0,0.922,3.09,20.0,77:381847:261416:583413:433599:012551:532507:563695:503410:502831:07,231.0,0.603,1.0,142.0,-1.2,3.86,0.1,0.0,0.0,0.0,0.0,
77,78.0,John Curry,30.0,MIN,G,2.0,1.0,0.0,0.0,1.0,5.0,25.0,20.0,0.8,4.18,0.0,71:51,0.0,0.0,1.0,234.0,-2.9,5.01,-0.2,0.0,0.0,0.0,0.0,
78,79.0,Troy Grosenick,25.0,SJS,G,4.0,4.0,2.0,2.0,0.0,9.0,135.0,126.0,0.948,1.52,1.0,118:22120:00,2.0,0.5,1.0,61.0,2.0,2.03,0.6,0.0,0.0,0.0,0.0,
79,80.0,Marek Mazanec,23.0,NSH,G,6.0,3.0,0.0,3.0,0.0,18.0,134.0,116.0,0.915,2.27,0.0,105:44177:35,1.0,1.0,0.0,100.0,0.0,2.84,0.3,0.0,0.0,0.0,0.0,
80,81.0,Thomas McCollum,25.0,DET,G,2.0,0.0,1.0,0.0,0.0,1.0,25.0,24.0,0.96,0.91,0.0,65:54,0.0,,0.0,47.0,1.1,0.91,0.3,0.0,0.0,0.0,0.0,
81,82.0,Jussi RynnÃ¤s,27.0,DAL,G,2.0,1.0,0.0,1.0,0.0,7.0,44.0,37.0,0.841,4.54,0.0,92:25,0.0,0.0,1.0,186.0,-3.2,5.19,-0.1,0.0,0.0,0.0,0.0,
82,83.0,Mackenzie Skapski,20.0,NYR,G,2.0,2.0,2.0,0.0,0.0,1.0,45.0,44.0,0.978,0.5,1.0,119:05,2.0,1.0,0.0,26.0,2.8,0.5,0.6,0.0,0.0,0.0,0.0,
83,84.0,Laurent Brossoit,21.0,EDM,G,140.0,118.0,64.0,46.0,13.0,334.0,3746.0,3412.0,0.961,2.01,6.0,59:36299:31332:27740:141165:17987:53744:071281:26636:021351:02,68.0,1.0,0.0,46.0,2.4,2.01,0.6,0.0,0.0,0.0,0.0,
84,85.0,Tyler Bunz,22.0,EDM,G,1.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0,0.75,9.0,0.0,20:00,0.0,,0.0,293.0,-2.0,12.0,-0.2,0.0,0.0,0.0,0.0,
85,86.0,Chris Driedger,20.0,OTT,G,67.0,60.0,31.0,24.0,5.0,151.0,1812.0,1661.0,1.0,0.0,5.0,22:5231:4940:00642:401361:361478:24119:35,33.0,,0.0,0.0,0.9,0.0,0.2,0.0,0.0,0.0,0.0,
86,87.0,Philipp Grubauer,23.0,WSH,G,325.0,296.0,152.0,116.0,27.0,774.0,8567.0,7793.0,0.926,1.85,22.0,65:001111:021264:341864:482020:442057:062366:523111:252065:371996:36,158.0,1.0,0.0,94.0,0.1,1.85,0.2,0.0,0.0,0.0,0.0,
87,88.0,Andrey Makarov,21.0,BUF,G,1.0,1.0,0.0,1.0,0.0,3.0,36.0,33.0,0.917,3.0,0.0,60:00,1.0,1.0,0.0,98.0,0.1,4.0,0.2,0.0,0.0,0.0,0.0,
88,89.0,Mike McKenna,31.0,ARI,G,25.0,16.0,3.0,12.0,2.0,78.0,716.0,638.0,0.9,5.0,0.0,60:00101:20511:15454:2356:52,6.0,0.5,0.0,172.0,-2.1,6.0,0.0,0.0,0.0,0.0,0.0,
89,90.0,Kevin Poulin,24.0,NYI,G,1.0,1.0,0.0,0.0,1.0,3.0,26.0,23.0,0.885,2.77,0.0,65:00,0.0,0.0,0.0,135.0,-0.8,3.69,0.1,0.0,0.0,0.0,0.0,
90,91.0,Malcolm Subban,21.0,BOS,G,108.0,97.0,45.0,41.0,12.0,308.0,2978.0,2670.0,0.914,5.76,3.0,31:1530:361230:111226:471134:151133:051:10881:17210:2860:00,38.0,1.0,1.0,586.0,-2.5,7.68,-0.3,0.0,0.0,0.0,0.0,
91,92.0,Jeff Zatkoff,27.0,PIT,G,28.0,19.0,6.0,15.0,2.0,62.0,648.0,586.0,0.941,1.63,0.0,36:45732:03550:24,9.0,,0.0,69.0,0.5,1.63,0.2,0.0,0.0,0.0,0.0,
92,,League Average,,,,,,,,,,,,0.915,2.52,,,,0.542,,,,3.0,,,,,,
